time_s,ego_x_m,ego_y_m,ego_heading_rad,ego_speed_mps,ego_accel_mps2,dust_level,occlusion_rate
0.0,0.0,50.0,-0.0047788764537046785,1.1473584579990983,-3.622841237493901e-05,0.15,0.1
0.5,0.5736726782663798,49.99725846827561,-0.009557750910292711,1.1473403437929108,-3.3152007427261765e-05,0.15,0.1
1.0,1.1472879390760282,49.98903417374228,-0.019115577347766758,1.147325305991671,-4.009940896021469e-05,0.15,0.1
1.5,1.7207883712686856,49.97532801828658,-0.02867355483920209,1.1473002443839506,-6.014493041806013e-05,0.15,0.1
2.0,2.294116576276342,49.95614150494293,-0.038231758910692366,1.147265161061253,-8.018543230625674e-05,0.15,0.1
2.5,2.867215174417642,49.93147673772869,-0.04779026508719672,1.1472200589516444,-0.000100219241542,0.15,0.1
3.0,3.4400268111902097,49.901336421413575,-0.057349148892224595,1.147164941819711,-0.0001202446851271,0.15,0.1
3.5,4.012494163560215,49.8657238612229,-0.0669084858474661,1.1470998142665172,-0.000140260090166,0.15,0.1
4.0,4.584559946248495,49.82464296247521,-0.07646835147234855,1.1470246817295449,-0.0001602637839057,0.15,0.1
4.5,5.156166918012527,49.77809823015399,-0.08602882128367952,1.1469395504826114,-0.000180254093741,0.15,0.1
5.0,5.727257887923575,49.72609476841367,-0.09558997079528114,1.146844427635804,-0.000200229347238,0.15,0.1
5.5,6.297775721638322,49.66863828001981,-0.10515187551751001,1.1467393211353734,-0.0002201878721812,0.15,0.1
6.0,6.867663347664295,49.60573506572389,-0.11471461095686035,1.1466242397636226,-0.0002401279965564,0.15,0.1
6.5,7.4368637636183905,49.537392023572174,-0.12427825261555366,1.1464991931388169,-0.0002600480485934,0.15,0.1
7.0,8.005320042477843,49.46361664814941,-0.13384287599103092,1.1463641917150291,-0.0002799463568148,0.15,0.1
7.5,8.572975338822896,49.38441702975688,-0.1434085565755478,1.146219246782002,-0.0002998212500131,0.15,0.1
8.0,9.139772895070555,49.299801853525246,-0.15297536985562793,1.146064370465016,-0.0003196710572879,0.15,0.1
8.5,9.705656047698696,49.2097803984621,-0.16254339131160792,1.145899575724714,-0.0003394941081105,0.15,0.1
9.0,10.270568233459857,49.11436253643443,-0.17211269641703703,1.1457248763569057,-0.0003592887323045,0.15,0.1
9.5,10.83445299558402,49.01355873108609,-0.18168336063820167,1.1455402869924096,-0.0003790532600493,0.15,0.1
10.0,11.39725398996977,48.90738003669029,-0.19125545943356417,1.145345823096856,-0.0003987860219807,0.15,0.1
10.5,11.958914991363024,48.79583809693738,-0.200829068253079,1.1451415009704289,-0.0004184853491639,0.15,0.1
11.0,12.519379899522768,48.67894514365802,-0.21040426253760813,1.144927337747692,-0.0004381495731002,0.15,0.1
11.5,13.078592745373117,48.556713995481815,-0.2199811177183178,1.1447033513973286,-0.0004577770258331,0.15,0.1
12.0,13.636497697140909,48.42915805643157,-0.22955970921596974,1.144469560721859,-0.0004773660399071,0.15,0.1
12.5,14.193039066478295,48.29629131445342,-0.23914011244015604,1.1442259853574217,-0.0004969149483748,0.15,0.1
13.0,14.748161314569632,48.158128339882914,-0.2487224027886355,1.143972645773484,-0.0005164220848927,0.15,0.1
