time_s,pose_x_m_est,pose_y_m_est,method
0.0,0.0,50.0,proposed
0.5,0.5468592403004124,49.97179684855393,proposed
1.0,1.1088390036859246,49.9713138324823,proposed
1.5,1.6698566543664568,49.957864729435975,proposed
2.0,2.2268905088660955,49.93777664803589,proposed
2.5,2.7705824554065956,49.881671585901024,proposed
3.0,3.3316417288415203,49.86257507668539,proposed
3.5,3.908278404269081,49.806766234422604,proposed
4.0,4.454597890188209,49.786265844199335,proposed
4.5,5.056687996499094,49.748440932031144,proposed
5.0,5.635509881808195,49.64550359278465,proposed
5.5,6.2190991816002255,49.62114249496454,proposed
6.0,6.812821606516727,49.57847654474075,proposed
6.5,7.344322404028573,49.49153509562928,proposed
7.0,7.909112061141922,49.39900000720788,proposed
7.5,8.450183305406966,49.326543672824215,proposed
8.0,9.03900018070701,49.20773656952582,proposed
8.5,9.62780289783725,49.120051267260685,proposed
9.0,10.22880077258005,49.039863868423694,proposed
9.5,10.795072756215585,48.93947845469151,proposed
10.0,11.357351791750677,48.87162706933283,proposed
10.5,11.932216574107732,48.74911156158134,proposed
11.0,12.50489269295391,48.64005977942921,proposed
11.5,13.053917037977161,48.49667189596622,proposed
12.0,13.637793263429538,48.3605435101155,proposed
12.5,14.186441803715821,48.238148665057615,proposed
13.0,14.72915094231718,48.102500984886234,proposed
13.5,15.273459348659623,47.89826148027633,proposed
14.0,15.833497176102934,47.75283165843275,proposed
14.5,16.3911893591586,47.549453508954265,proposed
15.0,16.90877801450645,47.413870404981076,proposed
15.5,17.45676928316579,47.20416826387111,proposed
16.0,18.003225535295215,46.996578312051255,proposed
16.5,18.533016234652216,46.824937013536,proposed
17.0,19.079601211074024,46.665133020282916,proposed
17.5,19.628989203361716,46.489408043280505,proposed
18.0,20.157291447576025,46.27748550127324,proposed
18.5,20.693253960544272,46.102655230961616,proposed
19.0,21.244642794164893,45.89522130458177,proposed
19.5,21.773907768572368,45.66693025340922,proposed
20.0,22.328257704945973,45.49038828365641,proposed
20.5,22.86431424600248,45.23554342550425,proposed
21.0,23.40334054649351,45.049919597712716,proposed
21.5,23.899599149537412,44.84111114113491,proposed
22.0,24.414428039675858,44.63635367063011,proposed
22.5,24.904925156217004,44.38886995008578,proposed
23.0,25.383658619075938,44.15394970818272,proposed
23.5,25.907655521828282,43.91428370393377,proposed
24.0,26.40493420982897,43.65213389890336,proposed
24.5,26.903797402081338,43.41506583638551,proposed
25.0,27.37456544529358,43.145591633035515,proposed
25.5,27.842123190066076,42.86983483662065,proposed
26.0,28.339745418602377,42.64596687969049,proposed
26.5,28.819766628442512,42.39321894731452,proposed
27.0,29.27336284818992,42.11356316361302,proposed
27.5,29.763413633278912,41.84520118637391,proposed
28.0,30.237288709991244,41.537751768318415,proposed
28.5,30.673516310686903,41.250916104259105,proposed
29.0,31.139066211300833,40.97522019830916,proposed
29.5,31.627482284900548,40.69864777340723,proposed
30.0,32.08146015240258,40.39550171051726,proposed
30.5,32.55617367941862,40.072137431342504,proposed
31.0,33.05105639874835,39.77319500182137,proposed
31.5,33.5606496816464,39.46794794253336,proposed
32.0,34.0632099530533,39.184352058956605,proposed
32.5,34.509114252414676,38.82170845128542,proposed
33.0,35.00066266076533,38.503605840919256,proposed
33.5,35.462416234580616,38.15553415119329,proposed
34.0,35.91780991042978,37.836344781460404,proposed
34.5,36.375494564174694,37.476247308896454,proposed
35.0,36.84946061450234,37.128712625269394,proposed
35.5,37.30027215183534,36.79326270871892,proposed
36.0,37.78010622292252,36.444187381775855,proposed
36.5,38.20691688276786,36.1249429060104,proposed
37.0,38.65607578720483,35.76550896600766,proposed
37.5,39.0818742149316,35.3510763609109,proposed
38.0,39.496321419054276,34.94536123663718,proposed
38.5,39.84860229395529,34.55401659405341,proposed
39.0,40.22595544067853,34.16432901406866,proposed
39.5,40.63739062563637,33.79039795421155,proposed
40.0,41.035359207788055,33.37223310826051,proposed
40.5,41.42896655480556,32.9554505701736,proposed
41.0,41.85281988048275,32.55576710935407,proposed
41.5,42.215169504797686,32.132151298664496,proposed
42.0,42.59915787508244,31.730030272045415,proposed
42.5,42.974382650590336,31.345535087470346,proposed
43.0,43.3280071289182,30.957832796286418,proposed
43.5,43.69688346364897,30.56356676239442,proposed
44.0,44.0494217802197,30.16405885006724,proposed
44.5,44.393484521024085,29.780859933699983,proposed
45.0,44.749522386791725,29.34755259262399,proposed
45.5,45.0764438966386,28.924562296611242,proposed
46.0,45.42199520549725,28.464466898787897,proposed
46.5,45.74977504011821,27.98734949959755,proposed
47.0,46.06413391510868,27.548468369459332,proposed
47.5,46.40735822643318,27.102048198753376,proposed
48.0,46.74862864109285,26.638350106411448,proposed
48.5,47.08462727510394,26.191614310207633,proposed
49.0,47.40129860347787,25.743674511808567,proposed
49.5,47.70439744022195,25.258399016976398,proposed
50.0,47.992706868791835,24.773120595812003,proposed
50.5,48.294684077123335,24.332357525911434,proposed
51.0,48.63046460350275,23.863133272214995,proposed
51.5,48.92434499771061,23.444145003977727,proposed
52.0,49.207923798435544,22.966006221307527,proposed
52.5,49.49277122579788,22.489912497568774,proposed
53.0,49.76035948033905,21.9891825238621,proposed
53.5,50.07423897740099,21.530203915645114,proposed
54.0,50.38370686950593,21.07797466636008,proposed
54.5,50.652102271818556,20.564247161499694,proposed
55.0,50.89464807593428,20.0780623264652,proposed
55.5,51.1309381909519,19.556503453306775,proposed
56.0,51.363830702136724,19.06944956847378,proposed
56.5,51.64760021957464,18.56949487525668,proposed
57.0,51.90520817259365,18.0606478860604,proposed
57.5,52.13786885421381,17.571060067156417,proposed
58.0,52.40654424650522,17.020094575984018,proposed
58.5,52.61569048465147,16.533027458529638,proposed
59.0,52.84739135673888,16.012019006005563,proposed
59.5,53.06360981950004,15.516067533624126,proposed
60.0,53.3086754011815,15.022805106975943,proposed
60.5,53.503946706261445,14.466666128101808,proposed
61.0,53.75415637281567,13.944960807658845,proposed
61.5,53.904817799705654,13.363458253506757,proposed
62.0,54.07186556890932,12.915246466099655,proposed
62.5,54.2162645147734,12.412263853612865,proposed
63.0,54.351837906525844,11.918808111828543,proposed
63.5,54.5335018753432,11.347121767632563,proposed
64.0,54.76994472664716,10.720441646243414,proposed
64.5,55.0254047589358,10.23589388581927,proposed
65.0,55.231555336818225,9.591200513124448,proposed
65.5,55.381032979558505,9.201099003386663,proposed
66.0,55.51755782593045,8.697248292412368,proposed
66.5,55.56848516114074,8.066376392825376,proposed
67.0,55.724386831517734,7.4956695101509005,proposed
67.5,55.81190952155872,6.983600779681,proposed
68.0,55.993595786252634,6.507843450456787,proposed
68.5,56.12274084036687,6.060334783527419,proposed
69.0,56.32227382237378,5.53030616419858,proposed
69.5,56.5665023842254,4.922880988758933,proposed
70.0,56.548214878907544,4.5132467760759925,proposed
70.5,56.59135697433985,3.777380884469273,proposed
71.0,56.659083812824,3.3542899195152445,proposed
71.5,56.72282402679942,2.689556518942264,proposed
72.0,56.782528486572545,2.1520896740007496,proposed
72.5,56.83302736003456,1.5714733806600785,proposed
73.0,56.851099335537796,1.1067804514766162,proposed
73.5,56.87106486392539,0.5964111256617297,proposed
74.0,56.94478852076029,0.02345017694274998,proposed
74.5,56.93993773727837,-0.4944932512961303,proposed
75.0,56.857341804788746,-0.8579749542916477,proposed
75.5,56.855953912052385,-1.4129029219016656,proposed
76.0,56.954219234030106,-1.9500124924584386,proposed
76.5,56.95432581754568,-2.580730361096333,proposed
77.0,56.99066671365331,-3.1477713245470773,proposed
77.5,57.18047893119327,-3.687129554293148,proposed
78.0,57.0156510274435,-4.133386801860616,proposed
78.5,56.947085624767425,-4.647037093613861,proposed
79.0,57.06616815216551,-5.19358694740271,proposed
79.5,57.050538551239505,-5.6397995664328056,proposed
80.0,57.16036563345225,-6.171547527132729,proposed
80.5,57.31268469471626,-6.831273648620184,proposed
81.0,57.22466206008159,-7.389082008329103,proposed
81.5,57.28852340104869,-7.889320504662899,proposed
82.0,57.20791421952026,-8.49770669974891,proposed
82.5,57.05615829245176,-8.973399158912699,proposed
83.0,56.98765417502193,-9.408202369169278,proposed
83.5,56.82990433435318,-9.889213612360217,proposed
84.0,56.7784683709272,-10.45279674832969,proposed
84.5,56.68161965577646,-10.957790385238274,proposed
85.0,56.62031205813054,-11.54153654808193,proposed
85.5,56.61119328721689,-11.923935838832305,proposed
86.0,56.51569019049245,-12.371626889749328,proposed
86.5,56.42387188671269,-12.622928301239913,proposed
87.0,56.34522529930917,-13.055225582953353,proposed
87.5,56.384341003264595,-13.629352354547166,proposed
88.0,56.36895070783565,-14.041638959259497,proposed
88.5,56.31882402259764,-14.463004363594264,proposed
89.0,56.148418754314086,-14.73513037683018,proposed
89.5,55.78601518428202,-15.324517263692545,proposed
90.0,55.53156692758768,-15.63864683564652,proposed
90.5,55.40067310501848,-16.235684327743318,proposed
91.0,55.21394868333563,-16.892855742133463,proposed
91.5,55.15361745768838,-17.307811055811303,proposed
92.0,55.05358066704018,-17.874952184349446,proposed
92.5,55.07886188053182,-18.28034000404345,proposed
93.0,54.75004536207978,-18.78783991377186,proposed
93.5,54.47886109386641,-19.11556326155755,proposed
94.0,54.278200648127296,-19.745406627497637,proposed
94.5,54.104744554860794,-20.056299874431147,proposed
95.0,54.03410483263282,-20.5902482372393,proposed
95.5,53.84766045980401,-20.96015268471319,proposed
96.0,53.823619986188575,-21.599374307409633,proposed
96.5,53.66221009528158,-22.108635869783363,proposed
97.0,53.42746338048739,-22.43442657023789,proposed
97.5,53.095265908099464,-22.81505224981058,proposed
98.0,52.65927338808776,-23.35643048811187,proposed
98.5,52.465535628932045,-23.95777669464479,proposed
99.0,52.49852256004953,-24.493134172897115,proposed
99.5,52.20646091689944,-25.023296372258706,proposed
100.0,52.057025224501686,-25.37991929493471,proposed
100.5,51.79382241302319,-25.796807957545568,proposed
101.0,51.61476417615826,-26.39845258457445,proposed
101.5,51.37623171176037,-26.910727471624078,proposed
102.0,50.97967143460669,-27.330055831296207,proposed
102.5,50.8528702418823,-27.76449341650286,proposed
103.0,50.33880587534708,-28.24935621493899,proposed
103.5,49.99924350689741,-28.492508095616436,proposed
104.0,49.71432056964748,-29.094650137446212,proposed
104.5,49.456210293414095,-29.453634865546665,proposed
105.0,49.20909119248737,-29.96287052991431,proposed
